LA_code,LA_name,LSOA_code,LSOA_name,house_price
W06000015,Cardiff,W01001880,Cardiff 013B,153000
W06000015,Cardiff,W01001886,Cardiff 016D,157000
W06000015,Cardiff,W01001885,Cardiff 011D,178500
W06000015,Cardiff,W01001877,Cardiff 011A,141500
W06000015,Cardiff,W01001878,Cardiff 011B,172500
W06000015,Cardiff,W01001881,Cardiff 013C,125000
W06000015,Cardiff,W01001882,Cardiff 011C,173000
W06000015,Cardiff,W01001879,Cardiff 013A,151000
W06000015,Cardiff,W01001893,Cardiff 010B,230000
W06000015,Cardiff,W01001887,Cardiff 020A,277500
W06000015,Cardiff,W01001888,Cardiff 010A,221500
W06000015,Cardiff,W01001891,Cardiff 020C,172250
W06000015,Cardiff,W01001896,Cardiff 020E,254500
W06000015,Cardiff,W01001892,Cardiff 020D,290000
W06000015,Cardiff,W01001889,Cardiff 020B,185000
W06000015,Cardiff,W01001890,Cardiff 021D,232000
W06000015,Cardiff,W01001894,Cardiff 010C,260000
W06000015,Cardiff,W01001895,Cardiff 010D,170000
W06000015,Cardiff,W01001939,Cardiff 032F,166250
W06000015,Cardiff,W01001940,Cardiff 048A,145000
W06000015,Cardiff,W01001941,Cardiff 032G,171250
W06000015,Cardiff,W01001943,Cardiff 048B,159973
W06000015,Cardiff,W01001944,Cardiff 048C,162500
W06000015,Cardiff,W01001945,Cardiff 048D,169975
W06000015,Cardiff,W01001948,Cardiff 006E,262000
W06000015,Cardiff,W01001949,Cardiff 005F,155500
W06000015,Cardiff,W01001950,Cardiff 049D,174000
